........8..3...4...9..2..6.....79.......612...6.5.2.7...8...5...1.....2.4.5.....3,HardestSudokusThread-00001;tarx0134,tarek,95532,97174,,,,4674,3311
........2..8.1.9..5....3.4....1.93...6..3..8...37......4......53.1.7.8..2........,HardestSudokusThread-00002;tarx0140,tarek,94302,96595,,,,4465,2487
..2...7...1.....6.5......18....37.......49.....41.23....3.2.9...8.....5.6.......2,HardestSudokusThread-00003;tarx0136,tarek,95490,97086,,,,3671,2550
........7..4.2.6..8.....31......29...4..9..3...95.6....1......8..6.5.2..7......6.,HardestSudokusThread-00004;pearly6000-3819;tarx0139,tarek,76373,96793,10.3,10.3,9.8,3906,2180
..4..3....7..8....2.81....6..3....9..8..2....1..7....3......45....8..9....9..5..8,HardestSudokusThread-00005;tarx0105,tarek,98760,97581,11,1.2,1.2,3576,2134
..6..1....5..3....9..4....7..1....2..3..9....4..5....13.....68....3..2....2..8..3,HardestSudokusThread-00006;tarx0104,tarek,98760,97581,11,1.2,1.2,3573,2132
........3..1..9.6..5..8.4.....9...8...867.....1....2....6..7.2..3.8..5..4.......8,HardestSudokusThread-00007;tarx0119,tarek,70465,97524,,,,3562,2147
........5..6..87..3......9....1.7.4...7...8...4...6....9..8...3..16..4..5...2....,HardestSudokusThread-00009;tarx0067,tarek,96716,98769,,,,3465,2161
.....5..3..9....4..81.4.......7.......4..2..68...14.3.......2...4...6..79...5..1.,HardestSudokusThread-00010;tarx0108,tarek,82598,97563,,,,3189,2073
.....5..4.9.....2...6.7.3.....7..8....86.....13..8......3.1.6...2......54......9.,HardestSudokusThread-00011;tarx0068,tarek,95573,98760,,,,3444,2072
........6..5..18...9...8.7....8.2.....3.1.2..4..5.3....6.....9...83..1..7.......4,HardestSudokusThread-00012;pearly6000-3091;tarx0075,tarek,95057,98321,11.8,11.8,11.5,2974,2042
........9..6.1.7.24......3......12...6..2..5...28.7....3......4..8.7.6..9..1.....,HardestSudokusThread-00013;tarx0130,tarek,95040,97424,,,,4735,2255
..6.....1.8...7.5.9...5.8.......4....4..3..2....2.8.....3.7...9.7.....8.1.....6.3,HardestSudokusThread-00014;tarx0080,tarek,98770,97973,,,,3895,2010
........2..8..91..5......4....9.7.....7.3.8.....8.1.3..4..6...5..97..3..2........,HardestSudokusThread-00015;tarx0052,tarek,99221,98861,,,,2977,1921
........7..2..96..8...6...3....92.....46..5...1..54.....5.4.9...3.....7.1.......8,HardestSudokusThread-00016;tarx0009,tarek,95958,99234,11.2,11.2,2.6,3756,1906
.......24..3...7..41..7...6.....3.....5.9.8.....8.5...2...4...9..7...4..96.....1.,HardestSudokusThread-00017;tarx0059,tarek,99027,98828,,,,4165,1677
.......58..6...7..84..7...3.....1.....9.2.1.....6.9...5...8...2..7...8..23.....4.,HardestSudokusThread-00018;tarx0051,tarek,99270,98886,,,,4074,1654
